Turtle,Site,Site_Type,Se,Date_Caught,Sex,Carapace_Length,Carapace_Width,Plastron_Length,Mass
1,Beck,Control,0.178,5-Jun-19,Female,11.8,9.4,11.4,206
2,Pettigrew,Control,0.167,5-Jun-19,Male,11.6,8.4,10.7,166
3,Pettigrew,Control,0.129,5-Jun-19,Male,11.4,9.3,10.4,166
4,Pettigrew,Control,0.121,5-Jun-19,Male,11.5,9.2,10.6,196
5,Acheson,Tile,0.505,6-Jun-19,Male,11.4,9.2,11,176
6,Acheson,Tile,0.37,6-Jun-19,Male,11.3,8.6,10.7,196
7,Petri,Tile,0.549,6-Jun-19,Male,11.7,8.6,10.8,206
8,Petri,Tile,0.343,6-Jun-19,Male,11.4,8.2,10.3,156
9,Petri,Tile,0.511,6-Jun-19,Female,7.6,6.6,7,71
10,Petri,Tile,0.537,6-Jun-19,Male,14.5,10.3,12.4,306
11,Petri,Tile,0.823,6-Jun-19,Male,11.6,8.6,10.4,176
12,Lost_Lake,Control,0.452,6-Jun-19,Male,18.3,13.2,16.5,576
13,Lost_Lake,Control,1.78,6-Jun-19,Female,19.5,14.6,18.2,846
14,Lost_Lake,Control,0.396,6-Jun-19,Male,14.7,11.6,12.8,346
15,Lost_Lake,Control,1.38,6-Jun-19,Female,19.4,12.4,17.2,666
16,Beck,Control,0.33,13-Jun-19,Female,10.2,8.4,9.5,146
17,Habeger,Tile,2.05,13-Jun-19,Male,14.4,11.4,13.9,391
18,Pettigrew,Control,0.112,13-Jun-19,Male,11.8,9.3,11.2,196
19,Pettigrew,Control,0.624,13-Jun-19,Male,14.9,10.4,13.7,366
20,Acheson,Tile,1.24,14-Jun-19,Male,17.2,12.5,16.1,496
21,Acheson,Tile,2.51,14-Jun-19,Male,9.5,8.2,8.5,211
22,Acheson,Tile,2.61,14-Jun-19,Male,17.8,11.9,16.9,566
23,Acheson,Tile,8.53,14-Jun-19,Male,16.8,12.2,15.4,566
24,Volker,Tile,64,14-Jun-19,Male,17.3,12.6,15.2,536
25,Buffalo_Lake,Control,0.991,19-Jun-19,Male,17.6,12.8,15.6,556
26,Volker,Tile,1.24,19-Jun-19,Male,18.4,12.7,16,606
28,Volker,Tile,1.04,19-Jun-19,Female,17.4,13,17,646
29,Volker,Tile,16.8,19-Jun-19,Male,16.8,12.4,15.5,466
30,Volker,Tile,2.28,19-Jun-19,Male,18.6,13.4,16.5,586
31,Volker,Tile,15.1,19-Jun-19,Male,14.4,10.9,13.4,296
32,Volker,Tile,2.64,19-Jun-19,Male,15.5,11.5,14.4,416
33,Volker,Tile,1.18,19-Jun-19,Male,16.7,11.7,15.5,541
1030,Lost_Lake,Control,1.16,6-Jun-19,Male,,,,
